,message,target,source,short
42,Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.,0,yelp,hard judge side good gross melt styrofoam want eat fear get sick
43,"On a positive note, our server was very attentive and provided great service.",1,yelp,positive note server attentive provide great service
44,"Frozen pucks of disgust, with some of the worst people behind the register.",0,yelp,frozen puck disgust bad people register
45,The only thing I did like was the prime rib and dessert section.,1,yelp,thing like prime rib dessert section
46,It's too bad the food is so damn generic.,0,yelp,bad food damn generic
47,"The burger is good beef, cooked just right.",1,yelp,burger good beef cook right
48,If you want a sandwich just go to any Firehouse!!!!!,1,yelp,want sandwich firehouse
49,"My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.",1,yelp,Greek salad Greek dressing tasty pita hummus refreshing
50,We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.,1,yelp,order duck rare pink tender inside nice char outside
51,He came running after us when he realized my husband had left his sunglasses on the table.,1,yelp,come run realize husband leave sunglass table
52,Their chow mein is so good!,1,yelp,chow mein good
53,"They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food.",0,yelp,horrible attitude customer talk customer enjoy food
54,The portion was huge!,1,yelp,portion huge
55,"Loved it...friendly servers, great food, wonderful and imaginative menu.",1,yelp,love friendly server great food wonderful imaginative menu
56,The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.,0,yelp,heart attack grill downtown Vegas absolutely flat lined excuse restaurant
57,Not much seafood and like 5 strings of pasta at the bottom.,0,yelp,seafood like string pasta
58,"The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.",1,yelp,salad right sauce power scallop perfectly cook
59,"The ripped banana was not only ripped, but petrified and tasteless.",0,yelp,rip banana rip petrified tasteless
60,At least think to refill my water before I struggle to wave you over for 10 minutes.,0,yelp,think refill water struggle wave minute
61,This place receives stars for their APPETIZERS!!!,1,yelp,place receive star appetizer
62,The cocktails are all handmade and delicious.,1,yelp,cocktail handmade delicious
63,We'd definitely go back here again.,1,yelp,definitely
64,We are so glad we found this place.,1,yelp,glad find place
65,"Great food and service, huge portions and they give a military discount.",1,yelp,great food service huge portion military discount
66,Always a great time at Dos Gringos!,1,yelp,great time dos gringos
67,Update.....went back for a second time and it was still just as amazing,1,yelp,update go second time amazing
68,We got the food and apparently they have never heard of salt and the batter on the fish was chewy.,0,yelp,get food apparently hear salt batter fish chewy
69,A great way to finish a great.,1,yelp,great way finish great
70,"The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected.",1,yelp,deal include tasting drink Jeff go expect
71,"- Really, really good rice, all the time.",1,yelp,good rice time
72,The service was meh.,0,yelp,service meh
73,"It took over 30 min to get their milkshake, which was nothing more than chocolate milk.",0,yelp,take min milkshake chocolate milk
74,"I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn't use my common sense.",0,yelp,guess know place suck inside Excalibur use common sense
75,The scallop dish is quite appalling for value as well.,0,yelp,scallop dish appalling value
76,2 times - Very Bad Customer Service !,0,yelp,time bad customer service
77,The sweet potato fries were very good and seasoned well.,1,yelp,sweet potato fry good seasoned
78,Today is the second time I've been to their lunch buffet and it was pretty good.,1,yelp,Today second time lunch buffet pretty good
79,There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.,0,yelp,good food Vegas feel cheated waste eat opportunity go rice company
80,Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.,0,yelp,come like experience underwhelme relationship party wait person ask break
81,walked in and the place smelled like an old grease trap and only 2 others there eating.,0,yelp,walk place smell like old grease trap eat
82,The turkey and roast beef were bland.,0,yelp,turkey roast beef bland
83,This place has it!,1,yelp,place
84,The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.,0,yelp,pan cake rave taste like sugary disaster tailor palate year old
85,I love the Pho and the spring rolls oh so yummy you have to try.,1,yelp,love pho spring roll oh yummy try
86,The poor batter to meat ratio made the chicken tenders very unsatisfying.,0,yelp,poor batter meat ratio chicken tender unsatisfying
87,All I have to say is the food was amazing!!!,1,yelp,food amazing
88,Omelets are to die for!,1,yelp,omelet die
89,Everything was fresh and delicious!,1,yelp,fresh delicious
90,"In summary, this was a largely disappointing dining experience.",0,yelp,summary largely disappointing dining experience
91,"It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party.",1,yelp,like sexy party mouth outrageously flirt hot person party
92,"Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!",0,yelp,hard rock casino step forward
93,Best breakfast buffet!!!,1,yelp,good breakfast buffet
94,say bye bye to your tip lady!,0,yelp,bye bye tip lady
95,We'll never go again.,0,yelp,
96,Will be back again!,1,yelp,
97,Food arrived quickly!,1,yelp,food arrive quickly
98,It was not good.,0,yelp,good
99,"On the up side, their cafe serves really good food.",1,yelp,cafe serve good food
100,"Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow, he added extra to our meal and another marrow to go!",1,yelp,server fantastic find wife love roast garlic bone marrow add extra meal marrow
101,"The only good thing was our waiter, he was very helpful and kept the bloddy mary's coming.",1,yelp,good thing waiter helpful keep bloddy mary come
102,"Best Buffet in town, for the price you cannot beat it.",1,yelp,good buffet town price beat
103,"I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious.",1,yelp,love mussel cook wine reduction duck tender potato dish delicious
104,This is one of the better buffets that I have been to.,1,yelp,well buffet
105,So we went to Tigerlilly and had a fantastic afternoon!,1,yelp,go Tigerlilly fantastic afternoon
106,"The food was delicious, our bartender was attentive and personable AND we got a great deal!",1,yelp,food delicious bartender attentive personable get great deal
107,The ambience is wonderful and there is music playing.,1,yelp,ambience wonderful music playing
108,Will go back next trip out.,1,yelp,trip
109,Sooooo good!!,1,yelp,sooooo good
110,"REAL sushi lovers, let's be honest - Yama is not that good.",0,yelp,real sushi lover let honest Yama good
111,"At least 40min passed in between us ordering and the food arriving, and it wasn't that busy.",0,yelp,40min pass order food arrive busy
112,This is a really fantastic Thai restaurant which is definitely worth a visit.,1,yelp,fantastic Thai restaurant definitely worth visit
113,"Nice, spicy and tender.",1,yelp,nice spicy tender
114,Good prices.,1,yelp,good price
115,Check it out.,1,yelp,check
116,It was pretty gross!,0,yelp,pretty gross
117,I've had better atmosphere.,0,yelp,well atmosphere
118,Kind of hard to mess up a steak but they did.,0,yelp,kind hard mess steak
119,"Although I very much liked the look and sound of this place, the actual experience was a bit disappointing.",0,yelp,like look sound place actual experience bit disappointing
120,I just don't know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine.,0,yelp,know place manage serve bland food eat prepare Indian cuisine
121,"Worst service to boot, but that is the least of their worries.",0,yelp,bad service boot worry
122,Service was fine and the waitress was friendly.,1,yelp,service fine waitress friendly
123,"The guys all had steaks, and our steak loving son who has had steak at the best and worst places said it was the best steak he's ever eaten.",1,yelp,guy steak steak love son steak good bad place say good steak eat
124,"We thought you'd have to venture further away to get good sushi, but this place really hit the spot that night.",1,yelp,think venture away good sushi place hit spot night
125,"Host staff were, for lack of a better word, BITCHES!",0,yelp,host staff lack well word BITCHES
126,Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...,0,yelp,bland like place number reason want waste time bad reviewing leave
127,"Phenomenal food, service and ambiance.",1,yelp,phenomenal food service ambiance
128,I wouldn't return.,0,yelp,return
129,"Definitely worth venturing off the strip for the pork belly, will return next time I'm in Vegas.",1,yelp,definitely worth venture strip pork belly return time Vegas
130,This place is way too overpriced for mediocre food.,0,yelp,place way overpriced mediocre food
131,Penne vodka excellent!,1,yelp,penne vodka excellent
132,"They have a good selection of food including a massive meatloaf sandwich, a crispy chicken wrap, a delish tuna melt and some tasty burgers.",1,yelp,good selection food include massive meatloaf sandwich crispy chicken wrap delish tuna melt tasty burger
133,The management is rude.,0,yelp,management rude
134,"Delicious NYC bagels, good selections of cream cheese, real Lox with capers even.",1,yelp,delicious NYC bagel good selection cream cheese real Lox caper
135,"Great Subway, in fact it's so good when you come here every other Subway will not meet your expectations.",1,yelp,great Subway fact good come Subway meet expectation
136,I had a seriously solid breakfast here.,1,yelp,seriously solid breakfast
137,This is one of the best bars with food in Vegas.,1,yelp,good bar food Vegas
138,"He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas.",0,yelp,extremely rude restaurant love dine weekend Vegas
139,My drink was never empty and he made some really great menu suggestions.,1,yelp,drink great menu suggestion
140,Don't do it!!!!,0,yelp,
141,The waiter wasn't helpful or friendly and rarely checked on us.,0,yelp,waiter helpful friendly rarely check
142,My husband and I ate lunch here and were very disappointed with the food and service.,0,yelp,husband eat lunch disappointed food service
143,And the red curry had so much bamboo shoots and wasn't very tasty to me.,0,yelp,red curry bamboo shoot tasty
144,Nice blanket of moz over top but i feel like this was done to cover up the subpar food.,1,yelp,nice blanket moz feel like cover subpar food
145,The bathrooms are clean and the place itself is well decorated.,1,yelp,bathroom clean place decorate
146,"The menu is always changing, food quality is going down & service is extremely slow.",0,yelp,menu change food quality go service extremely slow
147,"The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace.",0,yelp,service little slow consider serve people server food come slow pace
148,I give it 2 thumbs down,0,yelp,thumb
149,We watched our waiter pay a lot more attention to other tables and ignore us.,0,yelp,watch waiter pay lot attention table ignore
150,My fiancé and I came in the middle of the day and we were greeted and seated right away.,1,yelp,fiancé come middle day greet seat right away
151,This is a great restaurant at the Mandalay Bay.,1,yelp,great restaurant mandalay bay
152,We waited for forty five minutes in vain.,0,yelp,wait minute vain
153,Crostini that came with the salad was stale.,0,yelp,crostini come salad stale
154,Some highlights : Great quality nigiri here!,1,yelp,highlight great quality nigiri
155,the staff is friendly and the joint is always clean.,1,yelp,staff friendly joint clean
156,this was a different cut than the piece the other day but still wonderful and tender s well as well flavored.,1,yelp,different cut piece day wonderful tender s flavor
157,I ordered the Voodoo pasta and it was the first time I'd had really excellent pasta since going gluten free several years ago.,1,yelp,order Voodoo pasta time excellent pasta go gluten free year ago
158,this place is good.,1,yelp,place good
159,"Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE.",0,yelp,unfortunately hit bakery leftov day order STALE
160,I came back today since they relocated and still not impressed.,0,yelp,come today relocate impressed
161,I was seated immediately.,1,yelp,seat immediately
162,"Their menu is diverse, and reasonably priced.",1,yelp,menu diverse reasonably price
163,Avoid at all cost!,0,yelp,avoid cost
164,Restaurant is always full but never a wait.,1,yelp,restaurant wait
165,DELICIOUS!!,1,yelp,delicious
166,This place is hands-down one of the best places to eat in the Phoenix metro area.,1,yelp,place hand good place eat Phoenix metro area
167,So don't go there if you are looking for good food...,0,yelp,look good food
168,I've never been treated so bad.,0,yelp,treat bad
169,Bacon is hella salty.,1,yelp,bacon hella salty
170,We also ordered the spinach and avocado salad; the ingredients were sad and the dressing literally had zero taste.,0,yelp,order spinach avocado salad ingredient sad dressing literally zero taste
171,"This really is how Vegas fine dining used to be, right down to the menus handed to the ladies that have no prices listed.",1,yelp,Vegas fine dining right menu hand lady price list
172,The waitresses are very friendly.,1,yelp,waitress friendly
173,"Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!",1,yelp,lordy khao soi dish miss curry lover
174,Everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter.,1,yelp,menu terrific thrill amazing accommodation vegetarian daughter
175,"Perhaps I caught them on an off night judging by the other reviews, but I'm not inspired to go back.",0,yelp,catch night judge review inspire
176,The service here leaves a lot to be desired.,0,yelp,service leave lot desire
177,"The atmosphere is modern and hip, while maintaining a touch of coziness.",1,yelp,atmosphere modern hip maintain touch coziness
178,"Not a weekly haunt, but definitely a place to come back to every once in a while.",1,yelp,weekly haunt definitely place come
179,We literally sat there for 20 minutes with no one asking to take our order.,0,yelp,literally sit minute ask order
180,"The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor.",0,yelp,burger absolutely flavor meat totally bland burger overcooked charcoal flavor
181,I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.,0,yelp,decide send waitress look like verge have heart attack
182,I dressed up to be treated so rudely!,0,yelp,dress treat rudely
183,It was probably dirt.,0,yelp,probably dirt
184,"Love this place, hits the spot when I want something healthy but not lacking in quantity or flavor.",1,yelp,love place hit spot want healthy lack quantity flavor
185,I ordered the Lemon raspberry ice cocktail which was also incredible.,1,yelp,order lemon raspberry ice cocktail incredible
186,"The food sucked, which we expected but it sucked more than we could have imagined.",0,yelp,food suck expect suck imagine
187,Interesting decor.,1,yelp,interesting decor
188,What I really like there is the crepe station.,1,yelp,like crepe station
189,"Also were served hot bread and butter, and home made potato chips with bacon bits on top....very original and very good.",1,yelp,serve hot bread butter home potato chip bacon bit original good
190,you can watch them preparing the delicious food!),1,yelp,watch prepare delicious food
191,Both of the egg rolls were fantastic.,1,yelp,egg roll fantastic
192,"When my order arrived, one of the gyros was missing.",0,yelp,order arrive gyro miss
193,"I had a salad with the wings, and some ice cream for dessert and left feeling quite satisfied.",1,yelp,salad wing ice cream dessert leave feel satisfied
194,I'm not really sure how Joey's was voted best hot dog in the Valley by readers of Phoenix Magazine.,0,yelp,sure Joey vote well hot dog Valley reader phoenix magazine
195,The best place to go for a tasty bowl of Pho!,1,yelp,good place tasty bowl pho
196,The live music on Fridays totally blows.,0,yelp,live music Fridays totally blow
197,I've never been more insulted or felt disrespected.,0,yelp,insult feel disrespect
198,Very friendly staff.,1,yelp,friendly staff
199,It is worth the drive.,1,yelp,worth drive
200,"I had heard good things about this place, but it exceeding every hope I could have dreamed of.",1,yelp,hear good thing place exceed hope dream
201,Food was great and so was the serivce!,1,yelp,food great serivce
202,The warm beer didn't help.,0,yelp,warm beer help
203,Great brunch spot.,1,yelp,great brunch spot
204,Service is friendly and inviting.,1,yelp,service friendly inviting
205,Very good lunch spot.,1,yelp,good lunch spot
206,I've lived here since 1979 and this was the first (and last) time I've stepped foot into this place.,0,yelp,live time step foot place
207,The WORST EXPERIENCE EVER.,0,yelp,worst experience
208,Must have been an off night at this place.,0,yelp,night place
209,"The sides are delish - mixed mushrooms, yukon gold puree, white corn - beateous.",1,yelp,side delish mixed mushroom yukon gold puree white corn beateous
210,"If that bug never showed up I would have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.",0,yelp,bug show give sure wall bug climb kitchen
211,"For about 10 minutes, we we're waiting for her salad when we realized that it wasn't coming any time soon.",0,yelp,minute wait salad realize come time soon
212,My friend loved the salmon tartar.,1,yelp,friend love salmon tartar
213,Won't go back.,0,yelp,will
214,Extremely Tasty!,1,yelp,extremely tasty
215,Waitress was good though!,1,yelp,waitress good
216,Soggy and not good.,0,yelp,soggy good
217,The Jamaican mojitos are delicious.,1,yelp,Jamaican mojito delicious
218,Which are small and not worth the price.,0,yelp,small worth price
219,- the food is rich so order accordingly.,1,yelp,food rich order accordingly
220,"The shower area is outside so you can only rinse, not take a full shower, unless you don't mind being nude for everyone to see!",0,yelp,shower area outside rinse shower mind nude
221,The service was a bit lacking.,0,yelp,service bit lacking
222,"Lobster Bisque, Bussell Sprouts, Risotto, Filet ALL needed salt and pepper..and of course there is none at the tables.",0,yelp,lobster bisque bussell sprouts Risotto filet need salt pepper course table
223,Hopefully this bodes for them going out of business and someone who can cook can come in.,0,yelp,hopefully bode go business cook come
224,"It was either too cold, not enough flavor or just bad.",0,yelp,cold flavor bad
225,I loved the bacon wrapped dates.,1,yelp,love bacon wrap date
226,This is an unbelievable BARGAIN!,1,yelp,unbelievable bargain
227,The folks at Otto always make us feel so welcome and special.,1,yelp,folk Otto feel welcome special
228,"As for the mains, also uninspired.",0,yelp,main uninspired
229,This is the place where I first had pho and it was amazing!!,1,yelp,place pho amazing
230,This wonderful experience made this place a must-stop whenever we are in town again.,1,yelp,wonderful experience place stop town
231,"If the food isn't bad enough for you, then enjoy dealing with the world's worst/annoying drunk people.",0,yelp,food bad enjoy deal world worst annoying drunk people
232,Very very fun chef.,1,yelp,fun chef
233,"Ordered a double cheeseburger & got a single patty that was falling apart (picture uploaded) Yeah, still sucks.",0,yelp,order double cheeseburger get single patty fall apart picture upload yeah suck
234,Great place to have a couple drinks and watch any and all sporting events as the walls are covered with TV's.,1,yelp,great place couple drink watch sport event wall cover tv
235,"If it were possible to give them zero stars, they'd have it.",0,yelp,possible zero star
236,"The descriptions said yum yum sauce and another said eel sauce, yet another said spicy mayo...well NONE of the rolls had sauces on them.",0,yelp,description say yum yum sauce say eel sauce say spicy mayo roll sauce
237,"I'd say that would be the hardest decision... Honestly, all of M's dishes taste how they are supposed to taste (amazing).",1,yelp,hard decision honestly M dish taste suppose taste amazing
238,If she had not rolled the eyes we may have stayed... Not sure if we will go back and try it again.,0,yelp,roll eye stay sure try
239,"Everyone is very attentive, providing excellent customer service.",1,yelp,attentive provide excellent customer service
240,Horrible - don't waste your time and money.,0,yelp,horrible waste time money
241,Now this dish was quite flavourful.,1,yelp,dish flavourful
242,By this time our side of the restaurant was almost empty so there was no excuse.,0,yelp,time restaurant excuse
243,"(It wasn't busy either) Also, the building was FREEZING cold.",0,yelp,busy building FREEZING cold
244,like the other reviewer said you couldn't pay me to eat at this place again.,0,yelp,like reviewer say pay eat place
245,-Drinks took close to 30 minutes to come out at one point.,0,yelp,-drinks take close minute come point
246,"Seriously flavorful delights, folks.",1,yelp,seriously flavorful delight folk
247,Much better than the other AYCE sushi place I went to in Vegas.,1,yelp,well ayce sushi place go Vegas
248,The lighting is just dark enough to set the mood.,1,yelp,lighting dark set mood
249,Based on the sub-par service I received and no effort to show their gratitude for my business I won't be going back.,0,yelp,base sub par service receive effort gratitude business will go
250,Owner's are really great people.!,1,yelp,owner great people
251,There is nothing privileged about working/eating there.,0,yelp,privileged work eat
252,The Greek dressing was very creamy and flavorful.,1,yelp,Greek dressing creamy flavorful
253,"Overall, I don't think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too.",0,yelp,overall think parent place similar complaint silently feel
254,Now the pizza itself was good the peanut sauce was very tasty.,1,yelp,pizza good peanut sauce tasty
255,We had 7 at our table and the service was pretty fast.,1,yelp,table service pretty fast
256,Fantastic service here.,1,yelp,fantastic service
257,I as well would've given godfathers zero stars if possible.,0,yelp,give godfather zero star possible
258,They know how to make them here.,1,yelp,know
259,very tough and very short on flavor!,0,yelp,tough short flavor
260,I hope this place sticks around.,1,yelp,hope place stick
261,"I have been in more than a few bars in Vegas, and do not ever recall being charged for tap water.",0,yelp,bar Vegas recall charge tap water
262,The restaurant atmosphere was exquisite.,1,yelp,restaurant atmosphere exquisite
263,"Good service, very clean, and inexpensive, to boot!",1,yelp,good service clean inexpensive boot
264,The seafood was fresh and generous in portion.,1,yelp,seafood fresh generous portion
265,"Plus, it's only 8 bucks.",1,yelp,plus buck
266,"The service was not up to par, either.",0,yelp,service par
267,"Thus far, have only visited twice and the food was absolutely delicious each time.",1,yelp,far visit twice food absolutely delicious time
268,Just as good as when I had it more than a year ago!,1,yelp,good year ago
269,"For a self proclaimed coffee cafe, I was wildly disappointed.",0,yelp,self proclaim coffee cafe wildly disappointed
270,The Veggitarian platter is out of this world!,1,yelp,Veggitarian platter world
271,You cant go wrong with any of the food here.,1,yelp,not wrong food
272,You can't beat that.,1,yelp,beat
273,"Stopped by this place while in Madison for the Ironman, very friendly, kind staff.",1,yelp,stop place Madison Ironman friendly kind staff
274,The chefs were friendly and did a good job.,1,yelp,chef friendly good job
275,"I've had better, not only from dedicated boba tea spots, but even from Jenni Pho.",0,yelp,well dedicated boba tea spot jenni pho
276,I liked the patio and the service was outstanding.,1,yelp,like patio service outstanding
277,The goat taco didn't skimp on the meat and wow what FLAVOR!,1,yelp,goat taco skimp meat wow flavor
278,I think not again,0,yelp,think
279,I had the mac salad and it was pretty bland so I will not be getting that again.,0,yelp,mac salad pretty bland get
280,I went to Bachi Burger on a friend's recommendation and was not disappointed.,1,yelp,go bachi burger friend recommendation disappointed
281,Service stinks here!,0,yelp,service stink
282,I waited and waited.,0,yelp,wait wait
283,"This place is not quality sushi, it is not a quality restaurant.",0,yelp,place quality sushi quality restaurant
284,I would definitely recommend the wings as well as the pizza.,1,yelp,definitely recommend wing pizza
285,Great Pizza and Salads!,1,yelp,great pizza Salads
286,Things that went wrong: - They burned the saganaki.,0,yelp,thing go wrong burn saganaki
287,We waited an hour for what was a breakfast I could have done 100 times better at home.,0,yelp,wait hour breakfast time well home
288,This place is amazing!,1,yelp,place amazing
289,"I hate to disagree with my fellow Yelpers, but my husband and I were so disappointed with this place.",0,yelp,hate disagree fellow Yelpers husband disappointed place
290,Waited 2 hours & never got either of our pizzas as many other around us who came in later did!,0,yelp,wait hour get pizza come later
291,Just don't know why they were so slow.,0,yelp,know slow
292,"The staff is great, the food is delish, and they have an incredible beer selection.",1,yelp,staff great food delish incredible beer selection
293,"I live in the neighborhood so I am disappointed I won't be back here, because it is a convenient location.",0,yelp,live neighborhood disappointed will convenient location
294,I didn't know pulled pork could be soooo delicious.,1,yelp,know pull pork soooo delicious
295,"You get incredibly fresh fish, prepared with care.",1,yelp,incredibly fresh fish prepare care
296,Before I go in to why I gave a 1 star rating please know that this was my third time eating at Bachi burger before writing a review.,0,yelp,give star rating know time eat Bachi burger write review
297,I love the fact that everything on their menu is worth it.,1,yelp,love fact menu worth
298,Never again will I be dining at this place!,0,yelp,dine place
299,The food was excellent and service was very good.,1,yelp,food excellent service good
300,Good beer & drink selection and good food selection.,1,yelp,good beer drink selection good food selection
301,Please stay away from the shrimp stir fried noodles.,0,yelp,stay away shrimp stir fry noodle
302,The potato chip order was sad... I could probably count how many chips were in that box and it was probably around 12.,0,yelp,potato chip order sad probably count chip box probably
303,Food was really boring.,0,yelp,food boring
304,Good Service-check!,1,yelp,good service check
305,This greedy corporation will NEVER see another dime from me!,0,yelp,greedy corporation dime
306,"Will never, ever go back.",0,yelp,
307,"As much as I'd like to go back, I can't get passed the atrocious service and will never return.",0,yelp,like pass atrocious service return
308,"In the summer, you can dine in a charming outdoor patio - so very delightful.",1,yelp,summer dine charming outdoor patio delightful
309,I did not expect this to be so good!,1,yelp,expect good
310,Fantastic food!,1,yelp,fantastic food
311,She ordered a toasted English muffin that came out untoasted.,0,yelp,order toasted English muffin come untoasted
312,The food was very good.,1,yelp,food good
313,Never going back.,0,yelp,go
314,"Great food for the price, which is very high quality and house made.",1,yelp,great food price high quality house
315,The bus boy on the other hand was so rude.,0,yelp,bus boy hand rude
316,"By this point, my friends and I had basically figured out this place was a joke and didn't mind making it publicly and loudly known.",0,yelp,point friend basically figure place joke mind make publicly loudly know
317,"Back to good BBQ, lighter fare, reasonable pricing and tell the public they are back to the old ways.",1,yelp,good BBQ light fare reasonable pricing tell public old way
318,"And considering the two of us left there very full and happy for about $20, you just can't go wrong.",1,yelp,consider leave happy $ wrong
319,All the bread is made in-house!,1,yelp,bread house
320,The only downside is the service.,0,yelp,downside service
321,"Also, the fries are without a doubt the worst fries I've ever had.",0,yelp,fry doubt bad fry
322,Service was exceptional and food was a good as all the reviews.,1,yelp,service exceptional food good review
323,"A couple of months later, I returned and had an amazing meal.",1,yelp,couple month later return amazing meal
324,Favorite place in town for shawarrrrrrma!!!!!!,1,yelp,favorite place town shawarrrrrrma
325,The black eyed peas and sweet potatoes... UNREAL!,1,yelp,black eyed pea sweet potato unreal
326,You won't be disappointed.,1,yelp,will disappoint
327,"They could serve it with just the vinaigrette and it may make for a better overall dish, but it was still very good.",1,yelp,serve vinaigrette well overall dish good
328,"I go to far too many places and I've never seen any restaurant that serves a 1 egg breakfast, especially for $4.00.",0,yelp,far place see restaurant serve egg breakfast especially $ 4.00
329,When my mom and I got home she immediately got sick and she only had a few bites of salad.,0,yelp,mom get home immediately get sick bite salad
330,The servers are not pleasant to deal with and they don't always honor Pizza Hut coupons.,0,yelp,server pleasant deal honor pizza hut coupon
331,"Both of them were truly unbelievably good, and I am so glad we went back.",1,yelp,truly unbelievably good glad go
332,"We had fantastic service, and were pleased by the atmosphere.",1,yelp,fantastic service pleased atmosphere
333,Everything was gross.,0,yelp,gross
334,I love this place.,1,yelp,love place
335,Great service and food.,1,yelp,great service food
336,First - the bathrooms at this location were dirty- Seat covers were not replenished & just plain yucky!!!,0,yelp,bathroom location dirty- seat cover replenish plain yucky
337,The burger... I got the Gold Standard a $17 burger and was kind of disappointed.,0,yelp,burger get gold standard $ burger kind disappointed
338,"OMG, the food was delicioso!",1,yelp,omg food delicioso
339,There is nothing authentic about this place.,0,yelp,authentic place
340,the spaghetti is nothing special whatsoever.,0,yelp,spaghetti special whatsoever
341,"Of all the dishes, the salmon was the best, but all were great.",1,yelp,dish salmon good great
342,The vegetables are so fresh and the sauce feels like authentic Thai.,1,yelp,vegetable fresh sauce feel like authentic Thai
343,It's worth driving up from Tucson!,1,yelp,worth drive Tucson
